name,height,weight
alex,1.67,51.29
ajay,1.82,61.96
alice,1.76,69.46
ravi,1.73,64.61
joe,1.72,65.5
alex,1.67,51.29
ajay,1.82,61.96
alice,1.76,69.46
ravi,1.73,64.61
joe,1.72,65.5
alex,1.67,51.29
ajay,1.82,61.96
alice,1.76,69.46
ravi,1.73,64.61
joe,1.72,65.5
jack,1.74,55.97
tom,1.77,64.23
tracy,1.78,61.94
john,1.72,51.01
jack,1.74,55.97
tom,1.77,64.23
tracy,1.78,61.94
john,1.72,51.01
jack,1.74,55.97
tom,1.77,64.23
tracy,1.78,61.94
john,1.72,51.01
simon,1.72,51.01
jacob,1.7,54.77
cindy,1.69,57.85
ivan,1.72,51.81
simon,1.72,51.01
jacob,1.7,54.77
cindy,1.69,57.85
ivan,1.72,51.81
simon,1.72,51.01
jacob,1.7,54.77
cindy,1.69,57.85
ivan,1.72,51.81
